,uniqueid,gun,gun_strict,gun_post,gun_strict_post,woman,party,first_post_date,last_post_date,num_media,num_posts
54,Dunn FL-2,13.0,1,39,1,Dunn FL-2,R,2016-02-23,2024-06-02,895,534
55,D’Esposito NY-4,15.0,0,18,0,D’Esposito NY-4,R,2022-04-04,2025-01-26,2998,2288
56,Edwards NC-11,22.0,3,37,7,Edwards NC-11,R,2020-08-14,2025-01-15,1170,846
57,Ellzey TX-6,3.0,2,3,2,Ellzey TX-6,R,2017-12-13,2024-03-31,160,135
58,Emmer MN-6,4.0,0,8,0,Emmer MN-6,R,2015-01-03,2024-05-01,828,653
59,Estes KS-4,18.0,2,62,15,Estes KS-4,R,2017-06-30,2024-11-11,2210,1219
60,Ezell MS-4,14.0,3,35,11,Ezell MS-4,R,2023-01-03,2025-01-09,475,318
61,Fallon TX-4,3.0,0,3,0,Fallon TX-4,R,2021-03-08,2024-04-12,418,328
62,Feenstra IA-4,9.0,0,11,0,Feenstra IA-4,R,2021-01-02,2024-05-09,1171,806
63,Ferguson GA-3,8.0,0,15,0,Ferguson GA-3,R,2017-01-03,2024-03-31,563,472
64,Finstad MN-1,3.0,0,3,0,Finstad MN-1,R,2022-08-26,2024-05-05,676,528
65,Fischbach MN-7,13.0,0,29,0,Fischbach MN-7,R,2021-01-03,2024-05-05,1415,693
66,Fitzgerald WI-5,2.0,0,3,0,Fitzgerald WI-5,R,2021-06-23,2023-07-17,117,63
67,Fitzpatrick PA-1,12.0,1,28,2,Fitzpatrick PA-1,R,2016-03-14,2024-01-06,1320,1044
68,Fleischmann TN-3,8.0,0,21,0,Fleischmann TN-3,R,2018-11-14,2024-04-15,783,506
69,Flood NE-1,0.0,0,0,0,Flood NE-1,R,2022-07-27,2024-09-20,150,115
70,Fong CA-20,29.0,2,72,2,Fong CA-20,R,2019-03-29,2024-12-14,4140,2428
71,Foxx NC-5,8.0,0,12,0,Foxx NC-5,R,2015-05-14,2024-03-31,1164,950
72,Franklin FL-18,18.0,6,53,10,Franklin FL-18,R,2021-01-04,2024-06-06,1115,510
73,Fry SC-7,3.0,0,8,0,Fry SC-7,R,2023-01-07,2025-01-15,1068,986
74,Fulcher ID-1,4.0,0,4,0,Fulcher ID-1,R,2016-08-27,2024-05-13,328,310
75,Gaetz FL-1,18.0,0,24,0,Gaetz FL-1,R,2017-01-10,2024-11-12,5646,5205
76,Gallagher WI-8,4.0,1,4,1,Gallagher WI-8,R,2016-02-28,2020-10-31,652,593
